country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical_cases,total_cases_per_1m_pop,total_deaths_per_1m_pop
USA,180789,"+17,001",3580,+439,6262,170947,3981,546,11
Italy,105792,"+4,053",12428,+837,15729,77635,4023,1750,206
Spain,94417,"+6,461",8269,+553,19259,66889,5607,2019,177
Germany,70985,"+4,100",682,+37,15824,54479,1979,847,8
France,52128,"+7,578",3523,+499,9444,39161,5565,799,54
Iran,44605,"+3,110",2898,+141,14656,27051,3703,531,35
UK,25150,"+3,009",1789,+381,135,23226,163,370,26
Switzerland,16605,+683,433,+74,1823,14349,301,1919,50
Turkey,13531,"+2,704",214,+46,243,13074,622,160,3
Belgium,12775,+876,705,+192,1696,10374,1021,1102,61
Netherlands,12595,+845,1039,+175,250,11306,1053,735,61
Austria,10122,+504,128,+20,1095,8899,198,1124,14
S. Korea,9786,+125,162,+4,5408,4216,55,191,3
Canada,8467,"+1,019",95,+6,1162,7210,120,224,3
Portugal,7443,"+1,035",160,+20,43,7240,188,730,16
Israel,5358,+663,20,+4,224,5114,117,619,2
Brazil,4830,+200,175,+12,127,4528,296,23,0.8
Norway,4635,+190,39,+7,13,4583,97,855,7
Australia,4561,+101,19,,337,4205,28,179,0.7
Sweden,4435,+407,180,+34,16,4239,358,439,18
Czechia,3257,+256,31,+8,45,3181,64,304,3
Ireland,3235,+325,71,+17,5,3159,103,655,14
Denmark,2860,+283,90,+13,1,2769,145,494,16
Malaysia,2766,+140,43,+6,537,2186,94,85,1
Chile,2738,+289,12,+4,156,2570,14,143,0.6
Russia,2337,+501,17,+8,121,2199,8,16,0.1
Poland,2311,+256,33,+2,7,2271,50,61,0.9
Romania,2245,+136,82,+17,220,1943,62,117,4
Ecuador,2240,+274,75,+13,54,2111,100,127,4
Luxembourg,2178,+190,23,+1,80,2075,31,3479,37
Philippines,2084,+538,88,+10,49,1947,1,19,0.8
Japan,1953,,56,,424,1473,56,15,0.4
Pakistan,1938,+221,26,+5,76,1836,12,9,0.1
Thailand,1651,+127,10,+1,342,1299,23,24,0.1
Saudi Arabia,1563,+110,10,+2,165,1388,31,45,0.3
Indonesia,1528,+114,136,+14,81,1311,,6,0.5
Finland,1418,+66,17,+4,10,1391,56,256,3
India,1397,+146,35,+3,123,1239,,1,0.03
South Africa,1353,+27,3,,31,1319,7,23,0.05
Greece,1314,+102,49,+3,52,1213,72,126,5
Iceland,1135,+49,2,,198,935,11,3326,6
Dominican Republic,1109,+208,51,+9,5,1053,,102,5
Mexico,1094,+101,28,+8,35,1031,1,8,0.2
Panama,1075,,27,,9,1039,43,249,6
Peru,1065,+115,30,+6,394,641,49,32,0.9
Argentina,966,+146,26,+3,240,700,,21,0.6
Singapore,926,+47,3,,240,683,22,158,0.5
Colombia,906,+108,16,+2,31,859,29,18,0.3
Serbia,900,+115,23,+7,42,835,62,103,3
Croatia,867,+77,6,,67,794,32,211,1
Slovenia,802,+46,15,+4,10,777,24,386,7
Qatar,781,+88,2,+1,62,717,6,271,0.7
Estonia,745,+30,4,+1,26,715,13,562,3
Algeria,716,+132,44,+9,46,626,,16,1
Hong Kong,714,+31,4,,128,582,5,95,0.5
Diamond Princess,712,,10,,603,99,15,,
Egypt,710,+54,46,+5,157,507,,7,0.4
Iraq,694,+64,50,+4,170,474,,17,1
UAE,664,+53,6,+1,61,597,2,67,0.6
New Zealand,647,+58,1,,74,572,2,134,0.2
Ukraine,618,+70,13,,8,597,,14,0.3
Morocco,602,+46,36,+3,24,542,1,16,1
Bahrain,567,+52,4,,295,268,2,333,2
Lithuania,537,+46,8,+1,7,522,27,197,3
Armenia,532,+50,3,,30,499,30,180,1
Hungary,492,+45,16,+1,37,439,6,51,2
Lebanon,463,+17,12,+1,37,414,7,68,2
Bosnia and Herzegovina,418,+50,12,+2,17,389,1,127,4
Bulgaria,399,+40,8,,17,374,14,57,1
Latvia,398,+22,,,1,397,3,211,
Andorra,370,,8,,10,352,10,4789,104
Slovakia,363,+27,,,3,360,1,66,
Tunisia,362,,10,+1,3,349,10,31,0.8
Moldova,353,+55,4,+2,18,331,44,88,1
Costa Rica,347,+17,2,,4,341,8,68,0.4
Kazakhstan,340,+38,2,+1,22,316,6,18,0.1
North Macedonia,329,+44,9,+2,12,308,4,158,4
Taiwan,322,+16,5,,39,278,,14,0.2
Uruguay,320,,1,,25,294,9,92,0.3
Azerbaijan,298,+25,5,+1,26,267,11,29,0.5
Kuwait,289,+23,,,73,216,13,68,
Jordan,274,+6,5,,30,239,5,27,0.5
Cyprus,262,+32,8,+1,23,231,3,217,7
Burkina Faso,261,+15,14,+2,32,215,,12,0.7
Réunion,247,+23,,,1,246,4,276,
Albania,243,+20,15,+4,52,176,8,84,5
San Marino,230,,25,,13,192,16,6778,737
Vietnam,207,+3,,,58,149,3,2,
Cameroon,193,+54,6,,5,182,,7,0.2
Oman,192,+13,,,34,158,3,38,
Cuba,186,+16,6,+2,8,172,3,16,0.5
Senegal,175,+13,,,40,135,,10,
Afghanistan,174,+4,4,,5,165,,4,0.1
Uzbekistan,172,+23,2,,7,163,8,5,0.06
Faeroe Islands,169,+1,,,74,95,3,3459,
Malta,169,+13,,,2,167,2,383,
Ivory Coast,168,,1,,6,161,,6,0.04
Ghana,161,+9,5,,31,125,1,5,0.2
Belarus,152,,1,+1,47,104,2,16,0.1
Mauritius,143,+15,5,+2,,138,1,112,4
Sri Lanka,143,+21,2,,17,124,5,7,0.09
Honduras,141,+2,7,,3,131,4,14,0.7
Channel Islands,141,,3,+1,,138,,811,17
Venezuela,135,,3,,39,93,6,5,0.1
Nigeria,135,+4,2,,8,125,,0.7,0.01
Brunei,129,+2,1,,45,83,3,295,2
Martinique,128,+35,3,+2,27,98,15,341,8
Palestine,117,,1,,18,98,,23,0.2
Guadeloupe,114,+8,4,,22,88,14,285,10
Georgia,110,+7,,,21,89,6,28,
Montenegro,109,+18,2,+1,,107,1,174,3
Cambodia,109,+2,,,23,86,1,7,
Bolivia,107,+10,6,+2,,101,3,9,0.5
Kyrgyzstan,107,+13,,,3,104,,16,
DRC,98,+17,8,,2,88,,1,0.09
Mayotte,94,+12,1,+1,10,83,3,345,4
Trinidad and Tobago,85,+2,3,,1,81,,61,2
Rwanda,75,+5,,,,75,,6,
Gibraltar,69,,,,34,35,,2048,
Liechtenstein,68,+6,,,,68,,1783,
Paraguay,65,+1,3,,1,61,3,9,0.4
Isle of Man,60,+11,,,,60,,706,
Kenya,59,+9,1,,1,57,2,1,0.02
Madagascar,57,+14,,,,57,6,2,
Aruba,55,+5,,,1,54,,515,
Monaco,52,+3,1,,2,49,,1325,25
Bangladesh,51,+2,5,,25,21,1,0.3,0.03
Uganda,44,+11,,,,44,,1,
French Guiana,43,,,,6,37,,144,
Macao,41,+3,,,10,31,,63,
Guatemala,38,+2,1,,10,27,1,2,0.06
Jamaica,36,,1,,2,33,,12,0.3
French Polynesia,36,,,,,36,1,128,
Zambia,35,,,,,35,,2,
Togo,34,+4,1,,10,23,,4,0.1
Barbados,34,+1,,,,34,,118,
El Salvador,32,+2,,,,32,5,5,
Djibouti,30,+12,,,,30,,30,
Mali,28,+3,2,,,26,,1,0.1
Niger,27,,3,,,24,,1,0.1
Bermuda,27,,,,10,17,,434,
Ethiopia,26,+3,,,2,24,2,0.2,
Guinea,22,,,,,22,,2,
Tanzania,19,,1,+1,1,17,,0.3,0.02
Congo,19,,,,,19,,3,
Maldives,18,+1,,,13,5,,33,
Gabon,16,+9,1,,,15,,7,0.4
New Caledonia,16,+1,,,,16,,56,
Myanmar,15,+1,1,+1,,14,,0.3,0.02
Saint Martin,15,,1,,2,12,,388,26
Eritrea,15,,,,,15,,4,
Haiti,15,,,,1,14,,1,
Bahamas,14,,,,1,13,,36,
Guyana,12,+4,2,+1,,10,,15,3
Cayman Islands,12,,1,,,11,,183,15
Dominica,12,,,,,12,,167,
Equatorial Guinea,12,,,,1,11,,9,
Mongolia,12,,,,2,10,,4,
Curaçao,11,,1,,2,8,,67,6
Namibia,11,,,,2,9,,4,
Syria,10,,2,,,8,,0.6,0.1
Greenland,10,,,,2,8,,176,
Seychelles,10,+2,,,,10,,102,
Benin,9,+3,,,1,8,,0.7,
Grenada,9,,,,,9,,80,
Laos,9,+1,,,,9,,1,
Saint Lucia,9,,,,1,8,,49,
Eswatini,9,,,,,9,,8,
Zimbabwe,8,+1,1,,,7,,0.5,0.07
Guinea-Bissau,8,,,,,8,,4,
Libya,8,,,,,8,,1,
Mozambique,8,,,,,8,,0.3,
Saint Kitts and Nevis,8,+1,,,,8,,150,
Suriname,8,,,,,8,,14,
Angola,7,,2,,1,4,,0.2,0.06
Sudan,7,+1,2,,1,4,,0.2,0.05
Antigua and Barbuda,7,,,,,7,,71,
Chad,7,+2,,,,7,,0.4,
Cabo Verde,6,,1,,,5,,11,2
Mauritania,6,,1,,2,3,,1,0.2
Vatican City,6,,,,,6,,7491,
St. Barth,6,,,,1,5,,607,
Sint Maarten,6,,,,,6,,140,
Nepal,5,,,,1,4,,0.2,
Fiji,5,,,,,5,,6,
Montserrat,5,,,,,5,,1002,
Somalia,5,+2,,,1,4,,0.3,
Turks and Caicos,5,,,,,5,,129,
Gambia,4,,1,,,3,,2,0.4
Nicaragua,4,,1,,,3,,0.6,0.2
Bhutan,4,,,,,4,,5,
Belize,3,,,,,3,,8,
Botswana,3,,,,,3,,1,
British Virgin Islands,3,+1,,,,3,,99,
CAR,3,,,,,3,,0.6,
Liberia,3,,,,,3,,0.6,
MS Zaandam,2,,,,,2,,,
Anguilla,2,,,,,2,,133,
Burundi,2,+2,,,,2,,0.2,
Papua New Guinea,1,,,,,1,,0.1,
St. Vincent Grenadines,1,,,,1,0,,9,
Sierra Leone,1,+1,,,,1,,0.1,
Timor-Leste,1,,,,,1,,0.8,
China,81518,+79,3305,+5,76052,2161,528,57,2
Total:,846251,"+61,592",41482,"+3,714",176541,628228,31599,108.6,5.3
